LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
35s         Normal   Scheduled           pod/jaeger-54885dfdf-mbddh                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-mbddh to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/registry-7d5f66bcd8-k7c8g                        Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-k7c8g to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
35s         Normal   Scheduled           pod/builder-678474bf88-sfkml                         Successfully assigned turbo-engine-e2e/builder-678474bf88-sfkml to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-fwlgv
35s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
35s         Normal   Scheduled           pod/console-78fbd5c84-rxrwm                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-rxrwm to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-rz8xb                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-rz8xb to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-mbddh
35s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-rxrwm
35s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
35s         Normal   Pulled              pod/builder-678474bf88-sfkml                         Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
35s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-sfkml
35s         Normal   ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-zww2x
35s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-xf7xz           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-xf7xz to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-k7c8g
35s         Normal   Scheduled           pod/gateway-586c64fdf5-zww2x                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-zww2x to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-r27cb
35s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-xf7xz
