LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
94s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
94s         Normal   Scheduled           pod/envmanager-76c64c8cc9-prs2q                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-prs2q to turbo-engine-e2e-control-plane
94s         Normal   Scheduled           pod/builder-678474bf88-45tng                         Successfully assigned turbo-engine-e2e/builder-678474bf88-45tng to turbo-engine-e2e-control-plane
94s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-mxg7q                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-mxg7q to turbo-engine-e2e-control-plane
94s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-45tng
94s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
94s         Normal   Scheduled           pod/console-78fbd5c84-p5krw                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-p5krw to turbo-engine-e2e-control-plane
94s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-gd6hr
94s         Normal   Scheduled           pod/jaeger-54885dfdf-gd6hr                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-gd6hr to turbo-engine-e2e-control-plane
94s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-p5krw
94s         Normal   ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
94s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-prs2q
94s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-9v7js
94s         Normal   Scheduled           pod/gateway-586c64fdf5-9v7js                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-9v7js to turbo-engine-e2e-control-plane
94s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-fr85z           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-fr85z to turbo-engine-e2e-control-plane
94s         Normal   ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-q7vp2
94s         Normal   ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-6mcw6
94s         Normal   Scheduled           pod/explorer-5465b84fd-6mcw6                         Successfully assigned turbo-engine-e2e/explorer-5465b84fd-6mcw6 to turbo-engine-e2e-control-plane
94s         Normal   Scheduled           pod/registry-7d5f66bcd8-q7vp2                        Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-q7vp2 to turbo-engine-e2e-control-plane
94s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-fr85z
94s         Normal   ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
94s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c                 Created pod: otel-collector-8584bc4d4c-mxg7q
93s         Normal   Created             pod/envmanager-76c64c8cc9-prs2q                      Container created
93s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-fr85z           Container created
93s         Normal   Pulled              pod/envmanager-76c64c8cc9-prs2q                      Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
93s         Normal   Pulled              pod/registry-7d5f66bcd8-q7vp2                        Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
93s         Normal   Pulled              pod/explorer-5465b84fd-6mcw6                         Container image "turbo-engine/explorer:e2e" already present on machine and can be accessed by the pod
93s         Normal   Created             pod/explorer-5465b84fd-6mcw6                         Container created
93s         Normal   Started             pod/explorer-5465b84fd-6mcw6                         Container started
93s         Normal   Created             pod/registry-7d5f66bcd8-q7vp2                        Container created
93s         Normal   Started             pod/registry-7d5f66bcd8-q7vp2                        Container started
93s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-fr85z           Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
93s         Normal   Pulled              pod/gateway-586c64fdf5-9v7js                         Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
93s         Normal   Created             pod/gateway-586c64fdf5-9v7js                         Container created
93s         Normal   Started             pod/gateway-586c64fdf5-9v7js                         Container started
93s         Normal   Started             pod/envmanager-76c64c8cc9-prs2q                      Container started
93s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-fr85z           Container started
93s         Normal   Started             pod/console-78fbd5c84-p5krw                          Container started
93s         Normal   Pulling             pod/jaeger-54885dfdf-gd6hr                           Pulling image "jaegertracing/all-in-one:1.54"
93s         Normal   Pulled              pod/builder-678474bf88-45tng                         Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
93s         Normal   Created             pod/builder-678474bf88-45tng                         Container created
93s         Normal   Pulling             pod/otel-collector-8584bc4d4c-mxg7q                  Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
93s         Normal   Created             pod/console-78fbd5c84-p5krw                          Container created
93s         Normal   Pulled              pod/console-78fbd5c84-p5krw                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
93s         Normal   Started             pod/builder-678474bf88-45tng                         Container started
92s         Normal   Created             pod/jaeger-54885dfdf-gd6hr                           Container created
92s         Normal   Pulled              pod/jaeger-54885dfdf-gd6hr                           Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.404s (1.404s including waiting). Image size: 33344095 bytes.
91s         Normal   Started             pod/jaeger-54885dfdf-gd6hr                           Container started
90s         Normal   Pulled              pod/otel-collector-8584bc4d4c-mxg7q                  Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 1.965s (3.214s including waiting). Image size: 65128183 bytes.
90s         Normal   Created             pod/otel-collector-8584bc4d4c-mxg7q                  Container created
89s         Normal   Started             pod/otel-collector-8584bc4d4c-mxg7q                  Container started
39s         Normal   SuccessfulCreate    replicaset/deploy-petstore-api-74768bbfdf            Created pod: deploy-petstore-api-74768bbfdf-b94hx
39s         Normal   SuccessfulCreate    replicaset/deploy-petstore-orchestrator-59d957fb64   Created pod: deploy-petstore-orchestrator-59d957fb64-m9ndz
